name,uri,id
2019 September,spotify:playlist:4ylUGJ7wt30TVxe703hrmK,4ylUGJ7wt30TVxe703hrmK
2019 August,spotify:playlist:3mCPIcTbuzQ6OVmwIwhnKB,3mCPIcTbuzQ6OVmwIwhnKB
2019 July,spotify:playlist:41ouWVceoFu7j9W3ql8HmC,41ouWVceoFu7j9W3ql8HmC
2019 June,spotify:playlist:5Igsm26OxTQZuqzdD2sSsu,5Igsm26OxTQZuqzdD2sSsu
2019 May,spotify:playlist:0FsrRBHRCAwLeWVxW7A6Qz,0FsrRBHRCAwLeWVxW7A6Qz
2019 April,spotify:playlist:2UW3aSRjQRdZmCSFG41eUm,2UW3aSRjQRdZmCSFG41eUm
2019 March,spotify:playlist:2ytUfouBjD7ELnYyjMM8Ls,2ytUfouBjD7ELnYyjMM8Ls
2019 February,spotify:playlist:1eFIjhEJEjJl8TLUVQTsbd,1eFIjhEJEjJl8TLUVQTsbd
2019 January,spotify:playlist:13Piue7IFfZbDsziZcixCe,13Piue7IFfZbDsziZcixCe
2018 December,spotify:playlist:1weobdiWA9MyJfk7HRALhP,1weobdiWA9MyJfk7HRALhP
2018 November,spotify:playlist:7l1MT372ELOqunANzPYO5W,7l1MT372ELOqunANzPYO5W
2018 October,spotify:playlist:06OdTn1ENKvtiN6C5NkWOj,06OdTn1ENKvtiN6C5NkWOj
2018 September,spotify:playlist:4ITUt7bXqNTsR49yrO1ulA,4ITUt7bXqNTsR49yrO1ulA
2018 August,spotify:playlist:0ZuzDTLa59oQiklmIY9IM7,0ZuzDTLa59oQiklmIY9IM7
2018 July,spotify:playlist:0GguGkHJwLTlhFRrD15GFJ,0GguGkHJwLTlhFRrD15GFJ
2018 June,spotify:playlist:7qYxy9eLFdPMC3LD5KKn5z,7qYxy9eLFdPMC3LD5KKn5z
2018 May,spotify:playlist:2sWRUSg0VtPuRSbNGgaTiY,2sWRUSg0VtPuRSbNGgaTiY
2018 April,spotify:playlist:57QhDt52QdwXNPfg7VsnEL,57QhDt52QdwXNPfg7VsnEL
2018 March,spotify:playlist:0r9fraS4PJcniSqdURQcAR,0r9fraS4PJcniSqdURQcAR
2018 February,spotify:playlist:1NV4nDgMxJ1TuLODWYclOh,1NV4nDgMxJ1TuLODWYclOh
2018 January,spotify:playlist:1qOQBqByTextAnENeILHt9,1qOQBqByTextAnENeILHt9
2017 December,spotify:playlist:6Kbne9HaHNeEbzVU1dRDwr,6Kbne9HaHNeEbzVU1dRDwr
2017 November,spotify:playlist:0k46iFn4ATeyIjOUFmZogV,0k46iFn4ATeyIjOUFmZogV
2017 October,spotify:playlist:55F7kE2rJ65aw6bPuI4DgW,55F7kE2rJ65aw6bPuI4DgW
2017 September,spotify:playlist:14Ysz207967KXtOahn5JH5,14Ysz207967KXtOahn5JH5
2017 August,spotify:playlist:6PkM2USZq5JeBVLypHN6L2,6PkM2USZq5JeBVLypHN6L2
2017 July,spotify:playlist:4urKnuIk88mdGEG0d8S1xx,4urKnuIk88mdGEG0d8S1xx
2017 June,spotify:playlist:7Fq12yMNllEedOIZDdAgcG,7Fq12yMNllEedOIZDdAgcG
2017 Spring,spotify:playlist:65dptRAri5FIwB2ubKNV94,65dptRAri5FIwB2ubKNV94
2016-17 Winter,spotify:playlist:19lY6K6mbI1V6BJmhKrXyJ,19lY6K6mbI1V6BJmhKrXyJ
2016 Spring,spotify:playlist:5nx3sWFHGMrTXhefG3labF,5nx3sWFHGMrTXhefG3labF
2016 Fall,spotify:playlist:4Oujvy6TuSJqZ6p9of8fKB,4Oujvy6TuSJqZ6p9of8fKB
2014 Fall,spotify:playlist:1jGX11xFFXB32fm2i2YoYm,1jGX11xFFXB32fm2i2YoYm
2011-12 Winter,spotify:playlist:5EOsOAYHMmv6E3XPNN1d1S,5EOsOAYHMmv6E3XPNN1d1S
2020 Trp2it,spotify:playlist:7Gr9kNeQNwapj3KYaAIhCu,7Gr9kNeQNwapj3KYaAIhCu
2019 Trp2it,spotify:playlist:7D7h9mq4mcWBAOeVGyaxY9,7D7h9mq4mcWBAOeVGyaxY9
2018 Trp2it,spotify:playlist:2JHwswDwa0VzIFVvBil1rd,2JHwswDwa0VzIFVvBil1rd
2017 Trp2it,spotify:playlist:78twiJHUxmr1JcmCI943fn,78twiJHUxmr1JcmCI943fn
2016 Trp2it,spotify:playlist:7CJYALzgC4arFoIsQ9CcPn,7CJYALzgC4arFoIsQ9CcPn
